year,source_ccode,target_ccode,tie
1978,160,501,238.37159628500376
1979,160,501,204.15647229353
1980,160,501,165.34766141942237
1981,160,501,139.34776944798978
1982,160,501,149.9940828375984
1983,160,501,152.92026129551596
1984,160,501,135.14791250834787
1985,160,501,125.05076914018355
1986,160,501,110.81920565660766
1987,160,501,74.16596827477406
1988,160,501,41.484423823822
1989,160,501,18.82168626042221
1990,160,501,-6.023788527763827
1991,160,501,-24.392272166942348
1992,160,501,-51.11054496484394
1993,160,501,-80.1837317830159
1994,160,501,-146.69747917633686
1995,160,501,-218.77506575997177
1996,160,501,-228.70742367710773
1997,160,501,-243.6302529339955
1998,160,501,-224.55391059533395
1999,160,501,-291.58766224129795
2000,160,501,-396.45905763206065
2001,160,501,-373.11148454094473
2002,160,501,-404.7042321991903
2003,160,501,-487.34920807202616
2004,160,501,-609.7062191421392
2005,160,501,-686.451393709267
2006,160,501,-794.6810397376121
2007,160,501,-922.5175384410977
2008,160,501,-1069.7354717551734
2009,160,501,-836.7467202705084
2010,160,501,-1005.4053013359862
2011,160,501,-1201.847461122512
2012,160,501,-1219.3825868208369
2013,160,501,-1244.7575868208369
2014,160,501,-1255.952139893463
1961,160,510,635.6006481458444
1962,160,510,564.2889085146699
1963,160,510,538.2198876846778
1964,160,510,510.9339931562399
1965,160,510,500.5655037244842
1966,160,510,465.2881724765575
1967,160,510,462.0612361761041
1968,160,510,443.9691959536922
1969,160,510,442.375244900496
1970,160,510,426.0131148189721
1971,160,510,405.46439654552887
1972,160,510,398.69324464850797
1973,160,510,374.44980314757595
1974,160,510,339.7120970038022
1975,160,510,306.147009199949
1976,160,510,289.35179503490053
1977,160,510,271.45951868672455
1978,160,510,266.59196698523374
1979,160,510,233.37684299375906
1980,160,510,193.56803211965143
1981,160,510,167.56814014821884
1982,160,510,178.21445353782838
1983,160,510,180.14063199574593
1984,160,510,163.36828320857785
1985,160,510,155.27113984041353
1986,160,510,141.03957635683582
1987,160,510,104.38633897500404
1988,160,510,70.70479452405198
1989,160,510,50.04205696065219
1990,160,510,28.19658217246615
1991,160,510,2.82809853328763
1992,160,510,-28.89017426461396
1993,160,510,-54.96336108278774
1994,160,510,-118.47710847610688
1995,160,510,-190.5546950597418
1996,160,510,-220.48705297687775
1997,160,510,-244.40988223376553
1998,160,510,-247.33353989510397
1999,160,510,-293.36729154106797
2000,160,510,-393.23868693183067
2001,160,510,-383.89111384071475
2002,160,510,-399.4838614989603
2003,160,510,-479.1288373717962
2004,160,510,-570.4858484419092
2005,160,510,-659.231023009037
2006,160,510,-778.4606690373839
2007,160,510,-883.2971677408696
2008,160,510,-1032.5151010549434
2009,160,510,-808.5263495702784
2010,160,510,-984.1849306357562
2011,160,510,-1153.627090422282
2012,160,510,-1182.1622161206087
2013,160,510,-1218.5372161206087
2014,160,510,-1229.731769193233
1962,160,516,759.8116244843932
1963,160,516,733.742603654402
1964,160,516,706.4567091259632
1965,160,516,696.0882196942075
1966,160,516,660.8108884462808
1967,160,516,657.5839521458274
1968,160,516,639.4919119234164
1969,160,516,637.8979608702202
1970,160,516,620.5358307886963
1971,160,516,600.9871125152531
1972,160,516,594.2159606182313
1973,160,516,569.9725191173002
1974,160,516,534.2348129735255
1975,160,516,499.66972516967235
1976,160,516,484.87451100462476
1977,160,516,466.9822346564479
1978,160,516,462.11468295495706
1979,160,516,427.8995589634833
1980,160,516,389.09074808937476
1981,160,516,363.09085611794217
1982,160,516,373.7371695075526
1983,160,516,375.66334796547017
1984,160,516,357.8909991783021
1985,160,516,348.79385581013685
1986,160,516,334.56229232656005
1987,160,516,297.90905494472736
1988,160,516,265.2275104937753
1989,160,516,242.5647729303755
1990,160,516,217.71929814218947
1991,160,516,194.35081450301095
